Tijd,Longitude,Latitude,Postcode,Type afval,Wind richting,Temperatuur,Weather description,Confidence,Type dag
6/5/2024 12:00,4.7793,51.5876,4811 ET,Plastic,S,5,Sneeuw,0.81,werkdag
6/5/2024 12:30,4.7793,51.5876,4811 ET,Organisch,SE,6,Droog,0.53,werkdag
6/5/2024 13:00,4.7793,51.5876,4811 ET,Papier,NW,8,Mist,0.64,werkdag
6/5/2024 13:30,4.7793,51.5876,4811 ET,Plastic,N,6,Droog,0.71,werkdag
6/5/2024 14:00,4.7793,51.5876,4811 ET,Metaal,SW,7,Lichte regen,0.55,werkdag
6/5/2024 14:30,4.7793,51.5876,4811 ET,Plastic,N,8,Zware regen,0.81,werkdag
6/5/2024 15:00,4.7793,51.5876,4811 ET,Plastic,SW,7,Bewolkt,0.87,werkdag
6/5/2024 15:30,4.7793,51.5876,4811 ET,Organisch,W,8,Sneeuw,0.5,werkdag
6/5/2024 16:00,4.7793,51.5876,4811 ET,Plastic,SE,9,Lichte regen,0.99,werkdag
6/5/2024 16:30,4.7793,51.5876,4811 ET,Niks,N,8,Bewolkt,0.52,werkdag
6/5/2024 17:00,4.7793,51.5876,4811 ET,Metaal,W,9,Mist,0.55,werkdag
6/5/2024 17:30,4.7793,51.5876,4811 ET,Organisch,E,9,Lichte regen,0.76,werkdag
6/5/2024 18:00,4.7793,51.5876,4811 ET,Metaal,N,7,Bewolkt,0.7,werkdag
6/5/2024 18:30,4.7793,51.5876,4811 ET,Niks,E,8,Droog,0.79,werkdag
6/5/2024 19:00,4.7793,51.5876,4811 ET,Niks,S,7,Droog,0.89,werkdag
6/5/2024 19:30,4.7793,51.5876,4811 ET,Plastic,SE,7,Zware regen,0.74,werkdag
6/5/2024 20:00,4.7793,51.5876,4811 ET,Niks,N,7,Sneeuw,0.92,werkdag
6/5/2024 20:30,4.7793,51.5876,4811 ET,Glas,S,7,Zware regen,0.99,werkdag
6/5/2024 21:00,4.7793,51.5876,4811 ET,Metaal,E,8,Zware regen,0.64,werkdag
6/5/2024 21:30,4.7793,51.5876,4811 ET,Niks,W,7,Lichte regen,0.62,werkdag
6/5/2024 22:00,4.7793,51.5876,4811 ET,Niks,NW,7,Zware regen,0.9,werkdag
6/5/2024 22:30,4.7793,51.5876,4811 ET,Niks,S,5,Zonnig,0.98,werkdag
6/5/2024 23:00,4.7793,51.5876,4811 ET,Metaal,SW,6,Bewolkt,0.63,werkdag
6/5/2024 23:30,4.7793,51.5876,4811 ET,Niks,W,6,Zonnig,0.59,werkdag
6/6/2024 0:00,4.7793,51.5876,4811 ET,Overig,E,9,Sneeuw,0.82,werkdag
6/6/2024 0:30,4.7793,51.5876,4811 ET,Niks,S,6,Lichte regen,0.79,werkdag
6/6/2024 1:00,4.7793,51.5876,4811 ET,Niks,SW,9,Zonnig,0.64,werkdag
6/6/2024 1:30,4.7793,51.5876,4811 ET,Niks,E,7,Mist,0.62,werkdag
6/6/2024 2:00,4.7793,51.5876,4811 ET,Metaal,NE,7,Zonnig,0.79,werkdag
6/6/2024 2:30,4.7793,51.5876,4811 ET,Glas,SE,9,Mist,0.71,werkdag
6/6/2024 3:00,4.7793,51.5876,4811 ET,Glas,S,8,Bewolkt,0.66,werkdag
6/6/2024 3:30,4.7793,51.5876,4811 ET,Niks,NW,6,Droog,0.97,werkdag
6/6/2024 4:00,4.7793,51.5876,4811 ET,Papier,NE,9,Lichte regen,0.8,werkdag
6/6/2024 4:30,4.7793,51.5876,4811 ET,Plastic,N,6,Lichte regen,0.7,werkdag
6/6/2024 5:00,4.7793,51.5876,4811 ET,Niks,N,6,Zware regen,0.59,werkdag
6/6/2024 5:30,4.7793,51.5876,4811 ET,Plastic,S,7,Lichte regen,0.9,werkdag
6/6/2024 6:00,4.7793,51.5876,4811 ET,Niks,NW,7,Lichte regen,0.51,werkdag
6/6/2024 6:30,4.7793,51.5876,4811 ET,Organisch,NW,6,Lichte regen,0.56,werkdag
6/6/2024 7:00,4.7793,51.5876,4811 ET,Metaal,NE,9,Lichte regen,0.52,werkdag
6/6/2024 7:30,4.7793,51.5876,4811 ET,Niks,N,9,Bewolkt,0.74,werkdag
6/6/2024 8:00,4.7793,51.5876,4811 ET,Organisch,SW,6,Lichte regen,0.9,werkdag
6/6/2024 8:30,4.7793,51.5876,4811 ET,Plastic,NW,6,Sneeuw,0.87,werkdag
6/6/2024 9:00,4.7793,51.5876,4811 ET,Niks,N,6,Droog,0.8,werkdag
6/6/2024 9:30,4.7793,51.5876,4811 ET,Plastic,NW,8,Lichte regen,0.76,werkdag
